id,name
580575,Chemours Co
301273,RLJ Lodging Trust
301277,Silicon Motion Technology Corp
266425,Exchange Income Corp
266421,RTG Mining Inc
266423,Bridgemarq Real Estate Services Inc
103487,LightAir
549704,H&E Equipment Services Inc
68827,Copperstone Resources B
549705,Tredegar Corp
549706,Kaiser Aluminum Corp
217493,IDEX Biometrics
429897,Serstech
811075,Atvexa B
97387,Metallic Minerals Corp
182220,Columbia Banking System Inc
811076,Corem Property Group B
724937,Ramaco Resources Inc
230468,Hornby Bay Mineral Exploration Ltd
724936,Laureate Education Inc
724935,Invitation Homes Inc
724934,ENGlobal Corp
909845,AS Tallink Grupp FDR
549713,Heron Therapeutics Inc
724938,Freshii Inc
975354,Alpha Lithium Corp
266414,Rogers Sugar Inc
266411,North West Company Inc
266413,Altus Group Ltd
988654,9F Inc
988658,China Xiangtai Food Co Ltd
579535,Jupai Holdings Ltd
266419,Second Cup Ltd
988656,Venzee Technologies Inc
652715,Kopin Corp
580516,Neos Therapeutics Inc
230454,Wesco International Inc
549700,Hub Group Inc
549701,Quanex Building Products Corp
549702,Trico Bancshares
230451,Chimera Investment Corp
580515,JPMorgan Chase & Co Pref G
266420,Aimia Inc
343097,Regional Management Corp
301216,Danske Andelskassers Bank
343096,Pacific Drilling SA
182208,Cardtronics PLC
343099,Vocera Communications Inc
266409,Cineplex Inc
579538,Ollie's Bargain Outlet Holdings Inc
579539,Chiasma Inc
170257,Host Hotels & Resorts Inc
627797,Elevate Credit Inc
566236,Macatawa Bank Corp
566235,Glaukos Corp
170254,Pennsylvania Real Estate Investment Trust
170253,Macerich Co
566239,AppFolio Inc
182214,NU Skin Enterprises Inc
182219,Travelers Companies Inc
182218,Broadwind Energy Inc
81807,Silk Road Energy Inc
182212,IES Holdings Inc
182210,Tuesday Morning Corp
339815,Brightview Holdings Inc
339816,BGC Partners Inc
339817,Atlantic Power Corp
566241,Actinium Pharmaceuticals Inc
566240,Catabasis Pharmaceuticals Inc
266469,Mullen Group Ltd
343196,Merrimack Pharmaceuticals Inc
567615,Colliers International Group Inc
343195,South Star Mining Corp
301316,Kværner
567619,Stingray Digital Group Inc Class B Share
343199,Rexnord Corp
567618,Corby Spirit and Wine Ltd Series B Share
567617,Evolent Health Inc
266468,GMP Capital Inc
567616,Corby Spirit and Wine Ltd Series A Share
253153,Daqo New Energy Corp
581918,Aqua Metals Inc
581916,Aimmune Therapeutics Inc
581915,DealNet Capital Corp
75963,Cordy Oilfield Services Inc
717815,Cleantech Building Materials
266472,Total Energy Services Inc
75964,Groundstar Resources Ltd
769013,VistaGen Therapeutics Inc
717813,Wins Finance Holdings Inc
717814,ArcPacific Resources Corp
75967,Eldorado Gold Corp
266475,Morneau Shepell Inc
567621,Pihlajalinna Oyj
567623,Gaming Corps
63988,SFL Corporation Ltd
63987,Vivus Inc
63989,CBRE Group Inc
253156,Teekay LNG Partners LP
75951,Reunion Gold Corp
75953,Vulcan Minerals Inc
178943,AvalonBay Communities Inc
266448,Safety Insurance Group Inc
63992,Western Union Co
63994,Fidelity National Information Services Inc
645576,Infant Bacterial TherapeuticsB
59013,Götenehus Group B
75985,Cominar REIT
75986,Omni Lite Industries Canada Inc
75987,Routemaster Capital Inc
301301,VOC Energy Trust
176312,Tower Semiconductor Ltd
176311,Fuwei Films (Holdings) Co Ltd
301302,AG Mortgage Investment Trust Inc
301308,Renren Inc
165650,Orvana Minerals Corp
86627,GobiMin Inc
75973,Agnico Eagle Mines Ltd
75974,Great Quest Fertilizer Ltd
75977,Titanium Corporation Inc
301310,Yandex NV
278493,Sernova Corp
278496,Terago Inc
24329,China Petroleum & Chemical Corp
807778,Smart Energy
380056,Houston American Energy Corp
1037691,RE Royalties Ltd
1037692,Vert Infrastructure Ltd
1037690,ViacomCBS Inc
178908,Electra Gruppen
683875,Hunter Oil Corp
75996,Ensign Energy Services Inc
683876,China Online Education Group
75997,Warrior Gold Inc
75998,Chesapeake Gold Corp
212648,Acadian Timber Corp
75999,Bear Creek Mining Corp
343135,Markel Corp
920255,Suzano SA
404575,Tetraphase Pharmaceuticals Inc
920253,China SXT Pharmaceuticals Inc
59050,BE Group
404576,Enanta Pharmaceuticals Inc
404577,Marin Software Inc
404578,Pangolin Diamonds Corp
619201,Implementa Sol B
74687,Acacia Research Corp
111809,TNR Gold Corp
25635,TagMaster B
224648,American Creek Resources Ltd
1037688,Brattle Street Investment Corp
1037689,1Life Healthcare Inc
708074,Naturally Splendid Enterprises Ltd
708076,Zedge Inc
86672,Vitality Products Inc
266478,IBI Group Inc
237949,Jayden Resources Inc
266480,Just Energy Group Inc
266481,Supremex Inc
188369,Premium Brands Holdings Corp
445021,Spherix Inc
445020,500.Com Ltd
445023,Vince Holding Corp
662055,Waste Connections Inc
445025,Navigator Holdings Ltd
262948,Rugby Mining Ltd
445024,NeuroMetrix Inc
687353,Filo Mining Corp
445019,Oxford Immunotec Global PLC
842100,Blink Charging Co
829121,Smoltek
842105,Auburn National Bancorporation Inc
842104,Bancorp 34 Inc
842103,CO2 GRO Inc
971854,Freckle Ltd
842107,Gabather
842106,Borqs Technologies Inc
971857,Predictive Oncology Inc
971858,Helios Technologies Inc
971855,GenixPharmaceucticals Corporation
971856,Peck Company Holdings Inc
741528,Prolight Diagnostics
831433,Dunxin Financial Holdings Ltd
971859,Gallagher Security Corp
831435,CannTrust Holdings Inc
831434,Dropbox Inc
983835,Royal Gold Mining Inc
983834,Nesco Holdings Inc
983836,Sutter Rock Capital Corp
388806,Arctic Paper
971860,Loop Insights Inc
177696,Geron Corp
175074,Commercial Vehicle Group Inc
175073,Comscore Inc
676678,Palamina Corp
832753,NP3 Fastigheter Pref
649096,Plejd
676686,Shineco Inc
770056,Cryoport Inc
434397,CNOOC Ltd
434396,Five Prime Therapeutics Inc
434395,Acceleron Pharma Inc
676685,Ageagle Aerial Systems Inc
75901,TMX Group Ltd
75902,Hyduke Energy Services Inc
75905,Northfield Capital Corp
35071,Barclays PLC ADR (DEPÅBEVIS)
35070,Banco Bilbao Vizcaya Argentaria SA
703274,Domtar Corp
175065,Sunset Pacific Petroleum Ltd
703273,Adient PLC
770053,SeaSpine Holdings Corp
770054,Hamilton Thorne Ltd
209068,Viscount Mining Corp
770055,SolGold PLC
663399,Bonava B
663397,Atkore International Group Inc
123813,Rockhaven Resources Ltd
517316,Samhällsbyggnadsbo. i Norden B
75918,BQE Water Inc
517313,Parke Bancorp Inc
517315,Bayn Europe
35068,BHP Group Ltd
262988,Qliro Group
35067,Banco Santander SA
956278,Parsons Corp
507999,Aker Solutions
507998,Navios Maritime Holdings Inc Pref
507997,Copper Lake Resources Ltd
250993,Africa Oil
75923,Phoenix Canada Oil Company Ltd
3701,Edwards Lifesciences Corp
75924,Southern Silver Exploration Corp
956274,ATIF Holdings Ltd
3702,ADTRAN Inc
956276,Kaixin Auto Holdings
956277,Mayville Engineering Company Inc
970564,Mälardalens Omsorgsfastigheter
75908,Brookfield Asset Management Inc
75909,Quaterra Resources Inc
258010,Stolt-Nielsen
983875,Zoomability
532956,Saltängen Property Invest
3719,Eastman Chemical Co
532955,Energous Corp
258008,East West Petroleum Corp
176328,McCoy Global Inc
247360,Vermilion Energy Inc
3715,Overseas Shipholding Group Inc
177694,ACADIA Pharmaceuticals Inc
99907,Soprano Oyj
970556,Airnet Technology Inc
970555,Slack Technologies Inc
970557,TruTrace Technologies Inc
519996,STORE Capital Corp
519997,Radiant Logistics Inc
476181,Till Capital Corp
3727,SVB Financial Group
249991,Veeco Instruments Inc
3729,Tsakos Energy Navigation Ltd
234048,Adex Mining Inc
75943,Route1 Inc
3720,Bristol-Myers Squibb Co
1059060,Nanologica BTA
772677,Redfin Corp
405815,Sagax B
772676,PetIQ Inc
3722,Xcel Energy Inc
3723,ASML Holding NV
3724,Unisys Corp
772678,Enrad
75947,Everton Resources Inc
927739,Exmceuticals Inc
75928,Stroud Resources Ltd
619277,Prebona
927738,Harpoon Therapeutics Inc
262951,Ethos Gold Corp
619278,Nischer Properties
476196,Five9 Inc
246008,Batero Gold Corp
319435,Cavotec
3731,CVS Health Corp
75933,Energold Drilling Corp
3733,Ryder System Inc
3735,Stryker Corp
3737,Big Lots Inc
752254,Real Matters Inc
399679,Interface Inc
752255,Kamux Oyj
752256,Sdiptech B
399675,Atlas Financial Holdings Inc
901115,Sun Metals Corp
901114,Aphria Inc
901113,Kore Mining Ltd
752253,Novus Therapeutics Inc
3751,AGCO Corp
362395,Washington Real Estate Investment Trust
764241,Essity B
550611,National Healthcare Corp
3741,Bottomline Technologies (DE) Inc
399682,American Vanguard Corp
638344,Bsquare Corp
638341,Dynagas LNG Partners LP
3746,MetLife Inc
399681,Adamera Minerals Corp
3748,Sempra Energy
399680,American Hotel Income Properties REIT LP
994334,Prosafe
812414,Group Eleven Resources Corp
3760,Pitney Bowes Inc
812413,Hancock Jaffe Laboratories Inc
3761,Waddell & Reed Financial Inc
812416,Apollo Medical Holdings Inc
550601,Libbey Inc
892573,Site Centers Corp
362397,Catalyst Pharmaceuticals Inc
550600,LendingTree Inc
550605,LSB Industries Inc
93927,Pancontinental Resources Corporation
550603,Lydall Inc
3755,U.S. Bancorp
550609,Lakeland Bancorp Inc
3756,Idacorp Inc
3757,Aflac Inc
550607,Check Cap Ltd
3758,General Motors Co
3759,PDL BioPharma Inc
550608,Neovasc Inc
3770,DaVita Inc
3771,Rent-A-Center Inc
813714,Encompass Health Corp
3773,Unum Group
385055,Tetra Technologies Inc
41007,Catena
764221,Enersize
723705,Obducat PREF B
866293,Pure Global Cannabis Inc
79667,NAXS
764223,Essity A
3763,FuelCell Energy Inc
3764,Carmax Inc
1042035,Double Bond Pharmaceutical International BTA B
3765,Ericsson
3766,Quest Diagnostics Inc
3767,Kohls Corp
